iter	Passed	Remaining
585	5151	5397
586	5159	5387
587	5167	5378
588	5175	5369
589	5184	5359
590	5192	5350
591	5200	5340
592	5208	5331
593	5216	5322
594	5225	5313
595	5234	5304
596	5242	5295
597	5252	5288
598	5261	5278
599	5270	5270
600	5278	5260
601	5286	5251
602	5295	5243
603	5304	5233
604	5312	5224
605	5321	5216
606	5329	5206
607	5337	5197
608	5346	5188
609	5356	5180
610	5365	5171
611	5372	5161
612	5380	5152
613	5389	5144
614	5398	5134
615	5406	5125
616	5415	5116
617	5423	5107
618	5432	5098
619	5441	5090
620	5450	5081
621	5458	5072
622	5467	5063
623	5476	5055
624	5485	5046
625	5493	5037
626	5502	5028
627	5510	5019
628	5519	5010
629	5527	5001
630	5536	4992
631	5544	4983
632	5553	4974
633	5561	4964
634	5569	4955
635	5577	4946
636	5586	4937
637	5595	4928
638	5602	4918
639	5610	4909
640	5618	4899
641	5625	4889
642	5636	4882
643	5644	4873
644	5652	4863
645	5660	4854
646	5669	4846
647	5677	4836
648	5685	4826
649	5693	4817
650	5700	4807
651	5708	4798
652	5717	4789
653	5725	4780
654	5734	4771
655	5742	4762
656	5751	4753
657	5759	4744
658	5767	4734
659	5775	4725
660	5785	4717
661	5793	4708
662	5802	4699
663	5810	4690
664	5819	4682
665	5827	4672
666	5835	4663
667	5843	4653
668	5851	4644
669	5860	4635
670	5868	4626
671	5877	4618
672	5886	4609
673	5895	4600
674	5903	4591
675	5912	4582
676	5920	4573
677	5928	4564
678	5936	4555
679	5945	4546
680	5953	4537
681	5961	4528
682	5970	4519
683	5979	4510
684	5987	4501
685	5996	4492
686	6004	4483
687	6012	4474
688	6019	4464
689	6028	4455
690	6037	4447
691	6046	4438
692	6054	4429
693	6063	4420
694	6071	4411
695	6080	4403
696	6088	4394
697	6096	4384
698	6104	4375
699	6113	4366
700	6121	4357
701	6130	4349
702	6140	4340
703	6148	4332
704	6158	4324
705	6166	4314
706	6175	4306
707	6184	4297
708	6192	4288
709	6200	4279
710	6209	4270
711	6217	4261
712	6225	4252
713	6233	4243
714	6242	4234
715	6251	4225
716	6259	4216
717	6268	4208
718	6277	4199
719	6286	4190
720	6294	4181
721	6303	4172
722	6312	4164
723	6319	4155
724	6329	4146
725	6337	4137
726	6346	4129
727	6355	4120
728	6363	4111
729	6372	4102
730	6381	4093
731	6390	4085
732	6398	4076
733	6407	4067
734	6415	4058
735	6423	4049
736	6432	4040
737	6440	4031
738	6448	4022
739	6457	4013
740	6465	4004
741	6473	3995
742	6481	3986
743	6490	3977
744	6499	3969
745	6507	3960
746	6516	3951
747	6525	3942
748	6533	3933
749	6541	3924
750	6549	3915
751	6558	3907
752	6567	3898
753	6575	3889
754	6584	3880
755	6592	3871
756	6601	3863
757	6609	3854
758	6618	3845
759	6627	3836
760	6635	3827
761	6644	3819
762	6652	3809
763	6660	3801
764	6669	3792
765	6677	3783
766	6685	3774
767	6694	3765
768	6701	3756
769	6710	3747
770	6718	3738
771	6726	3729
772	6734	3719
773	6742	3711
774	6750	3702
775	6759	3693
776	6767	3684
777	6776	3675
778	6785	3667
779	6794	3658
780	6802	3649
781	6810	3640
782	6818	3631
783	6827	3622
784	6835	3613
785	6843	3604
786	6851	3595
787	6859	3586
788	6869	3578
789	6876	3568
790	6885	3560
791	6893	3551
792	6901	3542
793	6910	3533
794	6919	3524
795	6928	3516
796	6936	3507
797	6945	3498
798	6953	3489
